Date,Time,Open,High,Low,Close,Volume ,Filename
2018.01.29,00:00,11771.51,11799.82,11008.01,11180.01,77157,TXT\BTCUSD_D1.csv
2018.01.30,00:00,11180.01,11202.8,9725.0,10062.0,42381,TXT\BTCUSD_D1.csv
2018.01.31,00:00,10062.0,10303.8,9491.01,9941.81,48089,TXT\BTCUSD_D1.csv
2018.02.01,00:00,9941.81,10159.99,8435.0,9066.59,44686,TXT\BTCUSD_D1.csv
2018.02.02,00:00,9070.0,9106.54,7605.26,8546.22,46000,TXT\BTCUSD_D1.csv
2018.02.03,00:00,8541.81,9463.31,8150.71,9125.85,41929,TXT\BTCUSD_D1.csv
2018.02.04,00:00,9125.91,9330.0,7805.0,8050.68,41951,TXT\BTCUSD_D1.csv
2018.02.05,00:00,8050.72,8379.9,6580.0,7072.0,50000,TXT\BTCUSD_D1.csv
2018.02.06,00:00,7072.01,8122.3,5900.72,7770.01,47654,TXT\BTCUSD_D1.csv
2018.02.07,00:00,7779.01,8628.93,7196.0,8060.0,47388,TXT\BTCUSD_D1.csv
2018.02.08,00:00,8060.0,8615.1,7523.27,8140.72,46598,TXT\BTCUSD_D1.csv
2018.02.09,00:00,8140.76,8740.0,7733.32,8520.21,41485,TXT\BTCUSD_D1.csv
2018.02.10,00:00,8520.21,9070.79,8150.71,8253.76,37732,TXT\BTCUSD_D1.csv
2018.02.11,00:00,8251.01,8569.09,7798.0,8273.03,39839,TXT\BTCUSD_D1.csv
2018.02.12,00:00,8273.03,8895.19,8006.0,8803.5,41301,TXT\BTCUSD_D1.csv
2018.02.13,00:00,8803.6,8972.9,8340.1,8522.38,41116,TXT\BTCUSD_D1.csv
2018.02.14,00:00,8522.39,9359.99,8441.38,9270.14,46894,TXT\BTCUSD_D1.csv
2018.02.15,00:00,9267.91,10211.93,9205.46,9848.25,46469,TXT\BTCUSD_D1.csv
2018.02.16,00:00,9848.27,10278.19,9687.32,10062.33,51840,TXT\BTCUSD_D1.csv
2018.02.17,00:00,10062.33,10852.58,10022.03,10843.0,49242,TXT\BTCUSD_D1.csv
2018.02.18,00:00,10843.01,11279.99,10145.97,10780.76,25851,TXT\BTCUSD_D1.csv
2018.02.19,00:00,10778.87,11238.0,10312.17,11044.02,43267,TXT\BTCUSD_D1.csv
2018.02.20,00:00,11044.02,11722.92,11020.0,11680.02,36742,TXT\BTCUSD_D1.csv
2018.02.21,00:00,11680.02,11759.99,10236.89,10282.57,50600,TXT\BTCUSD_D1.csv
2018.02.22,00:00,10282.57,10912.43,9711.2,9913.5,52080,TXT\BTCUSD_D1.csv
2018.02.23,00:00,9913.5,10381.31,9580.0,9900.64,52741,TXT\BTCUSD_D1.csv
2018.02.24,00:00,9900.64,10520.53,9352.0,9490.0,40651,TXT\BTCUSD_D1.csv
2018.02.25,00:00,9482.99,9859.97,9255.42,9578.12,47574,TXT\BTCUSD_D1.csv
2018.02.26,00:00,9579.9,10440.02,9356.34,10358.52,58997,TXT\BTCUSD_D1.csv
2018.02.27,00:00,10353.89,10830.0,10130.0,10724.6,39257,TXT\BTCUSD_D1.csv
2018.02.28,00:00,10724.6,11044.64,10343.49,10513.04,42094,TXT\BTCUSD_D1.csv
2018.03.01,00:00,10513.04,11063.0,10203.41,10909.91,44270,TXT\BTCUSD_D1.csv
2018.03.02,00:00,10912.47,11154.97,10754.1,11006.93,41578,TXT\BTCUSD_D1.csv
